MillisSinceEpoch,TempoVideo,AnimacaoAtual,ValorMapeado,Valor,FrameNumber
1755730707320,2125.00,0,3.000,4.433,51
1755730707336,2166.67,0,3.000,4.433,52
1755730707353,2208.33,0,3.000,4.433,53
1755730707370,2250.00,0,3.000,4.433,54
1755730707387,2291.67,0,3.000,4.433,55
1755730707402,2333.33,0,3.000,4.433,56
1755730707420,2375.00,0,3.000,4.433,57
1755730707436,2416.67,0,3.000,4.433,58
1755730707453,2458.33,0,3.000,4.433,59
1755730707469,2500.00,0,3.000,4.433,60
1755730707486,2541.67,0,3.000,4.433,61
1755730707503,2583.33,0,3.000,4.433,62
1755730707520,2625.00,0,3.000,4.433,63
1755730707536,2666.67,0,3.000,4.433,64
1755730707553,2708.33,0,3.000,4.433,65
1755730707570,2750.00,0,3.000,4.433,66
1755730707586,2791.67,0,3.000,4.433,67
1755730707603,2833.33,0,3.000,4.433,68
1755730707619,2875.00,0,3.000,4.433,69
1755730707637,2916.67,0,3.000,4.433,70
1755730707652,2958.33,0,3.000,4.433,71
1755730707669,3000.00,0,3.000,4.433,72
1755730707687,3041.67,0,3.000,4.433,73
1755730707703,3083.33,0,3.000,4.433,74
1755730707720,3125.00,0,3.000,4.433,75
1755730707736,3166.67,0,3.000,4.433,76
1755730707753,3208.33,0,3.000,4.433,77
1755730707770,3250.00,0,3.000,4.433,78
1755730707786,3291.67,0,3.000,4.433,79
1755730707803,3333.33,0,3.000,4.433,80
1755730707819,3375.00,0,3.000,4.433,81
1755730707837,3416.67,0,3.000,4.433,82
1755730707853,3458.33,0,3.000,4.433,83
1755730707869,3500.00,0,3.000,4.433,84
1755730707887,3541.67,0,3.000,4.433,85
1755730707903,3583.33,0,3.000,4.433,86
1755730707920,3625.00,0,3.000,4.433,87
1755730707936,3666.67,0,3.000,4.433,88
1755730707952,3708.33,0,3.000,4.433,89
1755730707970,3750.00,0,3.000,4.433,90
1755730707986,3791.67,0,3.000,4.433,91
1755730708002,3833.33,0,3.000,4.433,92
1755730708020,3875.00,0,3.000,4.433,93
1755730708035,3916.67,0,3.000,4.433,94
1755730708053,3958.33,0,3.000,4.433,95
1755730708070,4000.00,0,3.000,4.433,96
1755730708087,4041.67,0,3.000,4.433,97
1755730708103,4083.33,0,3.000,4.433,98
1755730708120,4125.00,0,3.000,4.433,99
1755730708137,4166.67,0,3.000,4.433,100
1755730708154,4208.33,0,3.000,4.433,101
1755730708170,4250.00,0,3.000,4.433,102
1755730708187,4291.67,0,3.000,4.433,103
1755730708203,4333.33,0,3.000,4.433,104
1755730708220,4375.00,0,3.000,4.433,105
1755730708236,4416.67,0,3.000,4.433,106
1755730708253,4458.33,0,3.000,4.433,107
1755730708270,4500.00,0,3.000,4.433,108
1755730708287,4541.67,0,3.000,4.433,109
1755730708303,4583.33,0,3.000,4.433,110
1755730708320,4625.00,0,3.000,4.433,111
1755730708336,4666.67,0,3.000,4.433,112
1755730708353,4708.33,0,3.000,4.433,113
1755730708370,4750.00,0,3.000,4.433,114
1755730708386,4791.67,0,3.000,4.433,115
1755730708404,4833.33,0,3.000,4.433,116
1755730708419,4875.00,0,3.000,4.433,117
1755730708437,4916.67,0,3.000,4.433,118
1755730708471,4958.33,0,3.000,4.433,119
1755730708504,5000.00,0,3.000,4.433,120
1755730708531,5041.67,0,3.000,4.433,121
